,Start,End,Attenuation
0,A,B,0.0190247270718
1,A,C,0.00386329431795
2,A,D,0.00337169063338
3,A,E,0.00619228058645
4,A,F,0.00262857645878
5,A,G,0.0276399152318
6,A,H,0.00847677822973
7,A,I,0.00766194383924
8,B,A,0.0190247270718
9,B,C,0.00910210134291
10,B,D,0.0100565215389
11,B,E,0.0254697743423
12,B,F,0.0058412038203
13,B,G,0.0651650052544
14,B,H,0.0598083167992
15,B,I,0.0180218959143
16,C,A,0.00386329431795
17,C,B,0.00910210134291
18,C,D,0.0133128120366
19,C,E,0.00664841251575
20,C,F,0.0562074407456
21,C,G,0.00483175175504
22,C,H,0.0226686603601
23,C,I,0.00380488532605
24,D,A,0.00337169063338
25,D,B,0.0100565215389
26,D,C,0.0133128120366
27,D,E,0.022900146383
28,D,F,0.0186158606415
29,D,G,0.00628712564068
30,D,H,0.0205157411439
31,D,I,0.00797138942326
32,E,A,0.00619228058645
33,E,B,0.0254697743423
34,E,C,0.00664841251575
35,E,D,0.022900146383
36,E,F,0.00602426623339
37,E,G,0.020203674079
38,E,H,0.0235335399134
39,E,I,0.0470594787656
40,F,A,0.00262857645878
41,F,B,0.0058412038203
42,F,C,0.0562074407456
43,F,D,0.0186158606415
44,F,E,0.00602426623339
45,F,G,0.00354883726169
46,F,H,0.0123582238346
47,F,I,0.00332517489912
48,G,A,0.0276399152318
49,G,B,0.0651650052544
50,G,C,0.00483175175504
51,G,D,0.00628712564068
52,G,E,0.020203674079
53,G,F,0.00354883726169
54,G,H,0.0161483512237
55,G,I,0.0330411472144
56,H,A,0.00847677822973
57,H,B,0.0598083167992
58,H,C,0.0226686603601
59,H,D,0.0205157411439
60,H,E,0.0235335399134
61,H,F,0.0123582238346
62,H,G,0.0161483512237
63,H,I,0.0104370444131
64,I,A,0.00766194383924
65,I,B,0.0180218959143
66,I,C,0.00380488532605
67,I,D,0.00797138942326
68,I,E,0.0470594787656
69,I,F,0.00332517489912
70,I,G,0.0330411472144
71,I,H,0.0104370444131
