,Start,End,Attenuation
0,A,B,0.00258749912507
1,A,C,0.0134667633586
2,A,D,0.00643768216156
3,A,E,0.872601025872
4,A,F,0.00519716006379
5,B,A,0.00258749912507
6,B,C,0.00552840909376
7,B,D,0.00767567490013
8,B,E,0.00248299980914
9,B,F,0.00357563653807
10,C,A,0.0134667633586
11,C,B,0.00552840909376
12,C,D,0.0672960224349
13,C,E,0.0110395811235
14,C,F,0.0218986299225
15,D,A,0.00643768216156
16,D,B,0.00767567490013
17,D,C,0.0672960224349
18,D,E,0.00561636319041
19,D,F,0.0317485842982
20,E,A,0.872601025872
21,E,B,0.00248299980914
22,E,C,0.0110395811235
23,E,D,0.00561636319041
24,E,F,0.00449267553651
25,F,A,0.00519716006379
26,F,B,0.00357563653807
27,F,C,0.0218986299225
28,F,D,0.0317485842982
29,F,E,0.00449267553651
