,Start,End,Attenuation
0,A,B,0.00679771147368
1,A,C,0.0060398559514
2,A,D,0.0139007686127
3,A,E,0.0139271900826
4,A,F,0.00294946680616
5,B,A,0.00679771147368
6,B,C,0.0190832636669
7,B,D,0.00361967409279
8,B,E,0.00235627337274
9,B,F,0.0051671898063
10,C,A,0.0060398559514
11,C,B,0.0190832636669
12,C,D,0.00580052440341
13,C,E,0.00236919467741
14,C,F,0.0207727780626
15,D,A,0.0139007686127
16,D,B,0.00361967409279
17,D,C,0.00580052440341
18,D,E,0.00933349279022
19,D,F,0.00414555011775
20,E,A,0.0139271900826
21,E,B,0.00235627337274
22,E,C,0.00236919467741
23,E,D,0.00933349279022
24,E,F,0.00161038652744
25,F,A,0.00294946680616
26,F,B,0.0051671898063
27,F,C,0.0207727780626
28,F,D,0.00414555011775
29,F,E,0.00161038652744
