,Start,End,Attenuation
0,A,B,0.0156865004806
1,A,C,0.00435468853494
2,A,D,0.00401050703508
3,A,E,0.00217411106037
4,A,F,0.00458770471112
5,A,G,0.0233315552943
6,A,H,0.148147501674
7,A,I,0.00506964958663
8,B,A,0.0156865004806
9,B,C,0.00803162148057
10,B,D,0.0059811933888
11,B,E,0.00148583188283
12,B,F,0.00541720975931
13,B,G,0.00492418383376
14,B,H,0.00952306328467
15,B,I,0.00557699716056
16,C,A,0.00435468853494
17,C,B,0.00803162148057
18,C,D,0.162000231774
19,C,E,0.00213483519006
20,C,F,0.037108090111
21,C,G,0.00219762322618
22,C,H,0.00319079739609
23,C,I,0.0287630558271
24,D,A,0.00401050703508
25,D,B,0.0059811933888
26,D,C,0.162000231774
27,D,E,0.00261074776173
28,D,F,0.103519547207
29,D,G,0.00213867090952
30,D,H,0.0030054177435
31,D,I,0.0616942734562
32,E,A,0.00217411106037
33,E,B,0.00148583188283
34,E,C,0.00213483519006
35,E,D,0.00261074776173
36,E,F,0.00367140682166
37,E,G,0.0020524558085
38,E,H,0.00207484461717
39,E,I,0.00403254994819
40,F,A,0.00458770471112
41,F,B,0.00541720975931
42,F,C,0.037108090111
43,F,D,0.103519547207
44,F,E,0.00367140682166
45,F,G,0.00248633190819
46,F,H,0.00345047683624
47,F,I,0.93178402682
48,G,A,0.0233315552943
49,G,B,0.00492418383376
50,G,C,0.00219762322618
51,G,D,0.00213867090952
52,G,E,0.0020524558085
53,G,F,0.00248633190819
54,G,H,0.0616400744361
55,G,I,0.00271799780116
56,H,A,0.148147501674
57,H,B,0.00952306328467
58,H,C,0.00319079739609
59,H,D,0.0030054177435
60,H,E,0.00207484461717
61,H,F,0.00345047683624
62,H,G,0.0616400744361
63,H,I,0.00379017340428
64,I,A,0.00506964958663
65,I,B,0.00557699716056
66,I,C,0.0287630558271
67,I,D,0.0616942734562
68,I,E,0.00403254994819
69,I,F,0.93178402682
70,I,G,0.00271799780116
71,I,H,0.00379017340428
