,Start,End,Attenuation
0,A,B,0.0035187809821
1,A,C,0.0015258591947
2,A,D,0.00143297917243
3,A,E,0.0015069457042
4,A,F,0.00408095091867
5,A,G,0.00140737313636
6,A,H,0.00225493913582
7,B,A,0.0035187809821
8,B,C,0.0128802428042
9,B,D,0.00715753281689
10,B,E,0.0111849399063
11,B,F,0.0523724988548
12,B,G,0.00637179763512
13,B,H,0.00597012546004
14,C,A,0.0015258591947
15,C,B,0.0128802428042
16,C,D,0.0190138481915
17,C,E,0.0358124907258
18,C,F,0.00862604852327
19,C,G,0.0144346112362
20,C,H,0.00466646060642
21,D,A,0.00143297917243
22,D,B,0.00715753281689
23,D,C,0.0190138481915
24,D,E,0.00637850231171
25,D,F,0.00847702457421
26,D,G,0.869887787263
27,D,H,0.0112351157489
28,E,A,0.0015069457042
29,E,B,0.0111849399063
30,E,C,0.0358124907258
31,E,D,0.00637850231171
32,E,F,0.00589125522348
33,E,G,0.00541498335781
34,E,H,0.00275679701131
35,F,A,0.00408095091867
36,F,B,0.0523724988548
37,F,C,0.00862604852327
38,F,D,0.00847702457421
39,F,E,0.00589125522348
40,F,G,0.00792448237192
41,F,H,0.0122132591997
42,G,A,0.00140737313636
43,G,B,0.00637179763512
44,G,C,0.0144346112362
45,G,D,0.869887787263
46,G,E,0.00541498335781
47,G,F,0.00792448237192
48,G,H,0.0127160465248
49,H,A,0.00225493913582
50,H,B,0.00597012546004
51,H,C,0.00466646060642
52,H,D,0.0112351157489
53,H,E,0.00275679701131
54,H,F,0.0122132591997
55,H,G,0.0127160465248
