,Start,End,Attenuation
0,A,B,0.0107507906846
1,A,C,0.0147845037354
2,A,D,0.00576237406836
3,A,E,0.0187500419654
4,A,F,0.0333823925425
5,A,G,0.0362211597327
6,A,H,0.0153840824689
7,B,A,0.0107507906846
8,B,C,0.126564086952
9,B,D,0.00350013911267
10,B,E,0.041653008659
11,B,F,0.00477407122876
12,B,G,0.0131665421248
13,B,H,0.0149538374562
14,C,A,0.0147845037354
15,C,B,0.126564086952
16,C,D,0.00317258406563
17,C,E,0.0273356546923
18,C,F,0.00646473357736
19,C,G,0.0125792222209
20,C,H,0.0115217469199
21,D,A,0.00576237406836
22,D,B,0.00350013911267
23,D,C,0.00317258406563
24,D,E,0.00692724935999
25,D,F,0.00360952564634
26,D,G,0.0122193102465
27,D,H,0.0131060755413
28,E,A,0.0187500419654
29,E,B,0.041653008659
30,E,C,0.0273356546923
31,E,D,0.00692724935999
32,E,F,0.00613903513058
33,E,G,0.0574233046185
34,E,H,0.0901078882782
35,F,A,0.0333823925425
36,F,B,0.00477407122876
37,F,C,0.00646473357736
38,F,D,0.00360952564634
39,F,E,0.00613903513058
40,F,G,0.0092645756738
41,F,H,0.00560733453652
42,G,A,0.0362211597327
43,G,B,0.0131665421248
44,G,C,0.0125792222209
45,G,D,0.0122193102465
46,G,E,0.0574233046185
47,G,F,0.0092645756738
48,G,H,0.109855629962
49,H,A,0.0153840824689
50,H,B,0.0149538374562
51,H,C,0.0115217469199
52,H,D,0.0131060755413
53,H,E,0.0901078882782
54,H,F,0.00560733453652
55,H,G,0.109855629962
