,Start,End,Attenuation
0,A,B,0.00368360078875
1,A,C,0.00530686556946
2,A,D,0.00244626238969
3,A,E,0.00379072871719
4,A,F,0.00267677726328
5,A,G,0.00244387437448
6,B,A,0.00368360078875
7,B,C,0.128393217812
8,B,D,0.0670268089453
9,B,E,0.00802266529099
10,B,F,0.0587407240437
11,B,G,0.0706560904673
12,C,A,0.00530686556946
13,C,B,0.128393217812
14,C,D,0.0236660862223
15,C,E,0.00988327183886
16,C,F,0.0238872189798
17,C,G,0.02361641358
18,D,A,0.00244626238969
19,D,B,0.0670268089453
20,D,C,0.0236660862223
21,D,E,0.00678864478591
22,D,F,0.0510547394885
23,D,G,1.75430726313
24,E,A,0.00379072871719
25,E,B,0.00802266529099
26,E,C,0.00988327183886
27,E,D,0.00678864478591
28,E,F,0.00435809246305
29,E,G,0.00615249578301
30,F,A,0.00267677726328
31,F,B,0.0587407240437
32,F,C,0.0238872189798
33,F,D,0.0510547394885
34,F,E,0.00435809246305
35,F,G,0.0725499796389
36,G,A,0.00244387437448
37,G,B,0.0706560904673
38,G,C,0.02361641358
39,G,D,1.75430726313
40,G,E,0.00615249578301
41,G,F,0.0725499796389
