,Start,End,Attenuation
0,A,B,0.0355989801673
1,A,C,0.00484579271376
2,A,D,0.00668484844988
3,A,E,0.00251220167491
4,A,F,0.0800421644828
5,A,G,0.142954174013
6,A,H,0.00256235460182
7,A,I,0.00227977763745
8,B,A,0.0355989801673
9,B,C,0.00838163861018
10,B,D,0.0191798177684
11,B,E,0.00346990317041
12,B,F,0.0135635742316
13,B,G,0.0212236178087
14,B,H,0.00260970847636
15,B,I,0.00272917253641
16,C,A,0.00484579271376
17,C,B,0.00838163861018
18,C,D,0.0242406489599
19,C,E,0.0267592251136
20,C,F,0.0039094058052
21,C,G,0.00517850843861
22,C,H,0.00631261328436
23,C,I,0.0113460967211
24,D,A,0.00668484844988
25,D,B,0.0191798177684
26,D,C,0.0242406489599
27,D,E,0.00680078266497
28,D,F,0.00442316660158
29,D,G,0.00592110488364
30,D,H,0.00292090111718
31,D,I,0.00400024502279
32,E,A,0.00251220167491
33,E,B,0.00346990317041
34,E,C,0.0267592251136
35,E,D,0.00680078266497
36,E,F,0.00226205375412
37,E,G,0.00275980507345
38,E,H,0.0088524344124
39,E,I,0.0395412555319
40,F,A,0.0800421644828
41,F,B,0.0135635742316
42,F,C,0.0039094058052
43,F,D,0.00442316660158
44,F,E,0.00226205375412
45,F,G,0.22149526984
46,F,H,0.00278318198514
47,F,I,0.00222859351034
48,G,A,0.142954174013
49,G,B,0.0212236178087
50,G,C,0.00517850843861
51,G,D,0.00592110488364
52,G,E,0.00275980507345
53,G,F,0.22149526984
54,G,H,0.00320772784876
55,G,I,0.00264654706663
56,H,A,0.00256235460182
57,H,B,0.00260970847636
58,H,C,0.00631261328436
59,H,D,0.00292090111718
60,H,E,0.0088524344124
61,H,F,0.00278318198514
62,H,G,0.00320772784876
63,H,I,0.0260439699906
64,I,A,0.00227977763745
65,I,B,0.00272917253641
66,I,C,0.0113460967211
67,I,D,0.00400024502279
68,I,E,0.0395412555319
69,I,F,0.00222859351034
70,I,G,0.00264654706663
71,I,H,0.0260439699906
