,Start,End,Attenuation
0,A,B,0.00616433830892
1,A,C,0.00510463096898
2,A,D,0.0119976375559
3,A,E,0.0142568224457
4,A,F,0.00380569853493
5,A,G,0.0149054032282
6,A,H,0.0173940299972
7,B,A,0.00616433830892
8,B,C,0.032180818644
9,B,D,0.010192234975
10,B,E,0.00733617081252
11,B,F,0.0023033637305
12,B,G,0.00249185391803
13,B,H,0.0034715111641
14,C,A,0.00510463096898
15,C,B,0.032180818644
16,C,D,0.0192629913813
17,C,E,0.0116471183794
18,C,F,0.0034812908323
19,C,G,0.00259958739715
20,C,H,0.00411128758121
21,D,A,0.0119976375559
22,D,B,0.010192234975
23,D,C,0.0192629913813
24,D,E,0.23544158383
25,D,F,0.00823341100471
26,D,G,0.00612975384654
27,D,H,0.0139331406102
28,E,A,0.0142568224457
29,E,B,0.00733617081252
30,E,C,0.0116471183794
31,E,D,0.23544158383
32,E,F,0.0107255870794
33,E,G,0.00841752278692
34,E,H,0.0239232933822
35,F,A,0.00380569853493
36,F,B,0.0023033637305
37,F,C,0.0034812908323
38,F,D,0.00823341100471
39,F,E,0.0107255870794
40,F,G,0.00572393952868
41,F,H,0.0113035140902
42,G,A,0.0149054032282
43,G,B,0.00249185391803
44,G,C,0.00259958739715
45,G,D,0.00612975384654
46,G,E,0.00841752278692
47,G,F,0.00572393952868
48,G,H,0.0442824920434
49,H,A,0.0173940299972
50,H,B,0.0034715111641
51,H,C,0.00411128758121
52,H,D,0.0139331406102
53,H,E,0.0239232933822
54,H,F,0.0113035140902
55,H,G,0.0442824920434
