,Start,End,Attenuation
0,A,B,0.00688688483988
1,A,C,0.00275416984445
2,A,D,0.00703172522419
3,A,E,0.0107123352372
4,A,F,0.0181047017664
5,A,G,0.00157293532099
6,A,H,0.0248419500442
7,A,I,0.00339452938208
8,B,A,0.00688688483988
9,B,C,0.0158523903552
10,B,D,0.0117795666184
11,B,E,0.0299118387833
12,B,F,0.0269602687948
13,B,G,0.00329778261093
14,B,H,0.0135724710996
15,B,I,0.0196868705324
16,C,A,0.00275416984445
17,C,B,0.0158523903552
18,C,D,0.00863827224576
19,C,E,0.005414266425
20,C,F,0.00509193846001
21,C,G,0.00827309748002
22,C,H,0.00522116417192
23,C,I,0.147162323609
24,D,A,0.00703172522419
25,D,B,0.0117795666184
26,D,C,0.00863827224576
27,D,E,0.00588594521353
28,D,F,0.00740041839855
29,D,G,0.0055215314405
30,D,H,0.031997787628
31,D,I,0.0149784109419
32,E,A,0.0107123352372
33,E,B,0.0299118387833
34,E,C,0.005414266425
35,E,D,0.00588594521353
36,E,F,0.187733596041
37,E,G,0.00187201730494
38,E,H,0.0106108012457
39,E,I,0.00600411166866
40,F,A,0.0181047017664
41,F,B,0.0269602687948
42,F,C,0.00509193846001
43,F,D,0.00740041839855
44,F,E,0.187733596041
45,F,G,0.00193311388355
46,F,H,0.0169451544165
47,F,I,0.00600204159036
48,G,A,0.00157293532099
49,G,B,0.00329778261093
50,G,C,0.00827309748002
51,G,D,0.0055215314405
52,G,E,0.00187201730494
53,G,F,0.00193311388355
54,G,H,0.00279949687387
55,G,I,0.00921213031505
56,H,A,0.0248419500442
57,H,B,0.0135724710996
58,H,C,0.00522116417192
59,H,D,0.031997787628
60,H,E,0.0106108012457
61,H,F,0.0169451544165
62,H,G,0.00279949687387
63,H,I,0.0074301525716
64,I,A,0.00339452938208
65,I,B,0.0196868705324
66,I,C,0.147162323609
67,I,D,0.0149784109419
68,I,E,0.00600411166866
69,I,F,0.00600204159036
70,I,G,0.00921213031505
71,I,H,0.0074301525716
