,Start,End,Attenuation
0,A,B,0.0104265488883
1,A,C,0.015783296067
2,A,D,0.0019606141366
3,A,E,0.00378735791017
4,A,F,0.00733583511646
5,A,G,0.00537685069619
6,B,A,0.0104265488883
7,B,C,0.00333648647482
8,B,D,0.00514543963781
9,B,E,0.0135925068891
10,B,F,0.0253262086742
11,B,G,0.00445002282673
12,C,A,0.015783296067
13,C,B,0.00333648647482
14,C,D,0.00107302181927
15,C,E,0.00204882843127
16,C,F,0.00260264614892
17,C,G,0.00260916576822
18,D,A,0.0019606141366
19,D,B,0.00514543963781
20,D,C,0.00107302181927
21,D,E,0.00361186682978
22,D,F,0.00776291890064
23,D,G,0.00283327331516
24,E,A,0.00378735791017
25,E,B,0.0135925068891
26,E,C,0.00204882843127
27,E,D,0.00361186682978
28,E,F,0.00495795701746
29,E,G,0.00180651564533
30,F,A,0.00733583511646
31,F,B,0.0253262086742
32,F,C,0.00260264614892
33,F,D,0.00776291890064
34,F,E,0.00495795701746
35,F,G,0.0102627898713
36,G,A,0.00537685069619
37,G,B,0.00445002282673
38,G,C,0.00260916576822
39,G,D,0.00283327331516
40,G,E,0.00180651564533
41,G,F,0.0102627898713
