,Start,End,Attenuation
0,A,B,0.00403002546566
1,A,C,0.102007039272
2,A,D,0.00180819773505
3,A,E,0.00246192599301
4,A,F,0.0108138850991
5,A,G,0.0070216286456
6,A,H,0.00244831555849
7,B,A,0.00403002546566
8,B,C,0.00585308441923
9,B,D,0.0164752414819
10,B,E,0.0261277529847
11,B,F,0.0224993132477
12,B,G,0.0403417282716
13,B,H,0.0112087294212
14,C,A,0.102007039272
15,C,B,0.00585308441923
16,C,D,0.00229779270836
17,C,E,0.00310336830849
18,C,F,0.0225487452651
19,C,G,0.012513851336
20,C,H,0.00342804237213
21,D,A,0.00180819773505
22,D,B,0.0164752414819
23,D,C,0.00229779270836
24,D,E,0.0308835740556
25,D,F,0.00483590237606
26,D,G,0.00649200487509
27,D,H,0.00773311121115
28,E,A,0.00246192599301
29,E,B,0.0261277529847
30,E,C,0.00310336830849
31,E,D,0.0308835740556
32,E,F,0.0066320254097
33,E,G,0.00822919590597
34,E,H,0.00500349990272
35,F,A,0.0108138850991
36,F,B,0.0224993132477
37,F,C,0.0225487452651
38,F,D,0.00483590237606
39,F,E,0.0066320254097
40,F,G,0.184388084819
41,F,H,0.00798866061577
42,G,A,0.0070216286456
43,G,B,0.0403417282716
44,G,C,0.012513851336
45,G,D,0.00649200487509
46,G,E,0.00822919590597
47,G,F,0.184388084819
48,G,H,0.01218973751
49,H,A,0.00244831555849
50,H,B,0.0112087294212
51,H,C,0.00342804237213
52,H,D,0.00773311121115
53,H,E,0.00500349990272
54,H,F,0.00798866061577
55,H,G,0.01218973751
