,Start,End,Attenuation
0,A,B,0.00238497479068
1,A,C,0.00681707501713
2,A,D,0.00273303617928
3,A,E,0.00446945200664
4,A,F,0.010851731785
5,A,G,0.00412087942832
6,A,H,0.0260504460294
7,B,A,0.00238497479068
8,B,C,0.00662513131214
9,B,D,0.0597149714475
10,B,E,0.0027679668791
11,B,F,0.00232750941439
12,B,G,0.00634790129788
13,B,H,0.00175222203716
14,C,A,0.00681707501713
15,C,B,0.00662513131214
16,C,D,0.0120534402038
17,C,E,0.00245610886774
18,C,F,0.00309697284094
19,C,G,0.0757363922701
20,C,H,0.00317871460415
21,D,A,0.00273303617928
22,D,B,0.0597149714475
23,D,C,0.0120534402038
24,D,E,0.00232466094826
25,D,F,0.0022080904565
26,D,G,0.0132558716025
27,D,H,0.00182121702415
28,E,A,0.00446945200664
29,E,B,0.0027679668791
30,E,C,0.00245610886774
31,E,D,0.00232466094826
32,E,F,0.0256473606402
33,E,G,0.00181731024878
34,E,H,0.00654653708678
35,F,A,0.010851731785
36,F,B,0.00232750941439
37,F,C,0.00309697284094
38,F,D,0.0022080904565
39,F,E,0.0256473606402
40,F,G,0.00215188441819
41,F,H,0.0267415441712
42,G,A,0.00412087942832
43,G,B,0.00634790129788
44,G,C,0.0757363922701
45,G,D,0.0132558716025
46,G,E,0.00181731024878
47,G,F,0.00215188441819
48,G,H,0.00219854402283
49,H,A,0.0260504460294
50,H,B,0.00175222203716
51,H,C,0.00317871460415
52,H,D,0.00182121702415
53,H,E,0.00654653708678
54,H,F,0.0267415441712
55,H,G,0.00219854402283
