,Start,End,Attenuation
0,A,B,0.0017056204606
1,A,C,0.009321451316
2,A,D,0.00475017568211
3,A,E,0.00137218717205
4,A,F,0.00259447164884
5,B,A,0.0017056204606
6,B,C,0.00423007883957
7,B,D,0.00445270043788
8,B,E,0.0130860655134
9,B,F,0.00385536354983
10,C,A,0.009321451316
11,C,B,0.00423007883957
12,C,D,0.0435939213388
13,C,E,0.00357742598727
14,C,F,0.00959950782047
15,D,A,0.00475017568211
16,D,B,0.00445270043788
17,D,C,0.0435939213388
18,D,E,0.00527943939381
19,D,F,0.0340474705275
20,E,A,0.00137218717205
21,E,B,0.0130860655134
22,E,C,0.00357742598727
23,E,D,0.00527943939381
24,E,F,0.00728959077981
25,F,A,0.00259447164884
26,F,B,0.00385536354983
27,F,C,0.00959950782047
28,F,D,0.0340474705275
29,F,E,0.00728959077981
